id,department_name,officer_ids,date,description,street_name,cross_street1,zip_code,city,state
#53,"Rochester, NY Police Department",32671,2011-10-26,"During a police investigation, Officer Camilo took possession of items stolen in a robbery.  He placed these items on the hood of his police car and drove away.  As a result of this action, evidence was lost.
<h4>Outcome</h4>Letter of reprimand for failure to maintain custody and properly handle evidence.",St Paul St,St Bridgets Dr,,Rochester,NY
#54,"Rochester, NY Police Department",32671,2012-05-06,"While attempting to turn around on a marked path in his police vehicle, officer failed to observe a concrete barrier, and struck it, causing damage to the vehicle.
<h4>Outcome</h4>Letter of Reprimand noting that this was his third avoidable police vehicle accident in 36 months.",Beach Ave,,,Rochester,NY
#48,"Rochester, NY Police Department",32679,2015-11-30,"According to courtlistener.com, an individual filed a complaint against Rochester Police Investigator Wilfredo Carbonel, Greece Police officer Brandon Goater, and the City of Rochester for unlawful and illegal monitoring and surveillance without proper authorization and/or warrant as well as falsified police reports.
<h4>Outcome</h4>A judgment was made on Jul 12, 2019 in favor of the City of Rochester, the Town of Greece, et al against Daryl Goodwin, and the case was terminated.",South Plymouth Ave,Utah Alley,,Rochester,NY
#50,"Rochester, NY Police Department",32905,2013-01-29,According to the NY Daily Record Gonazalez and another officer shot a man after he resisted an eviction. According to Rev James Simmons D&C letter multiple reports indicate the victim was armed only with bleach. According to Davy V's blog and tweets by Gary Craig the police did not mention a knife in their press conference then later claimed the victim was armed with a knife.,Andrews St,State St,,Rochester,NY
#51,"Rochester, NY Police Department",32905,2012-06-21,"Gonzales was one of seven officers that shot and killed an individual. The man suffered from bipolar disorder and was armed. Some witnesses contradict police reports that the man aimed the gun at the police. The individual had called 911 after claiming he stabbed his mom. 
<h4>Outcome</h4>None of the officers were disciplined. victim sued the RPD but the case was dismissed.",Locust St,,,Rochester,NY
#52,"Rochester, NY Police Department",32908,2013-10-13,"Goodfriend shot an individual in the back. According to the Dem & Chronicle the police claimed the individual was armed, fled and turned to display the gun to officers. Goodfriend was assigned to administrative duty
<h4>Outcome</h4>None",Bay St,,,Rochester,NY
#55,"Rochester, NY Police Department",32908,2014-06-18,"An individual brought a false arrest and excessive force lawsuit against Goodfriend. According to the court documents Goodfriend pursued the individual into his house without a warrant and they punched him and kneed him.
<h4>Outcome</h4>Goodfriend's motion for summary judgement to dismiss excessive force was denied.",Keller St,,,Rochester,NY
#56,"Rochester, NY Police Department",32911,2013-07-27,"According to Wikipedia and D&C an individual was shot multiple times and survived after a high speed chase and shootout with police according to D&C. The individual filed an excessive use of force suit against Gorman, Balch and Rizzo and the officers moved for summary judgement and Individual did not respond to the motion. The motion was granted and complain dismissed.",North Goodman,,,Rochester,NY
#57,"Rochester, NY Police Department",32915,2005-09-12,"According to city disciplinary records Officer Goulay was suspended for a day for failure to operate fleet vehicle in a safe manner, the fourth time in 36 months
<h4>Outcome</h4>Suspended without pay for one day",Dewey,Ridgeway Ave,,Rochester,NY
#58,"Rochester, NY Police Department",32738,2000-03-22,"According to the city misconduct database, Costello was involved in a fender bender: he backed into a garbage can, and it was avoidable.  
<h4>Outcome</h4>reprimanded because violated Rules and Reg Section 4.18 Departmental Property and Equipment",S Plymouth Ave,Utah Alley,,Rochester,NY
#60,"Rochester, NY Police Department",32738,2002-08-06,"According to City misconduct databse, Costello was involved fleet vehicle accident ; 3rd avoidable accident 
<h4>Outcome</h4>suspended 2 days without pay , removal of 16.5  hrs from comp bank",,,,Rochester,NY
#59,"Rochester, NY Police Department",32737,1997-08-27,"Individual filed complaint that after being chased by police, he was hit, kicked, and punched by officers including officers Mario Correia, Yodice, and Sofia. CRB and RPD sustained complaint that Correia struck the individual in the head with flashlight and lied about it. 
<h4>Outcome</h4>Other officers testified that Correia hit individual with the flashlight, Correia denied it. Disciplinary letter states his untruthfulness and violation of procedure could have resulted in termination but he's being given ""a second chance"", and  60 days unpaid leave. Correia appealed and lost.",Midvale Terr,Genesee Park Blvd,,Rochester,NY
#61,"Rochester, NY Police Department",32748,2011-12-09,"According to Indymedia reporting on a lawsuit filed, Jason Cropo was among a group of officers who assaulted a civilian--the man got out of his car and started to run from police. Police ordered him to get on the ground; as he was complying, the officers proceeded to assault him with their ""hands, clubs or batons, cap shun, aerosol mace and/or pepper sprays, without justification or provocation."" The man was then tasered repeatedly while laying on the ground. 
<h4>Outcome</h4>Civil suit settled with the city--no details as to what the settlement entailed",Avenue D,,,Rochester,NY
#62,"Rochester, NY Police Department",32796,2016-08-01,"DiNicola was among 17 RPD officers named in the assault of a teenager who was 17 years old at the time.
<h4>Outcome</h4>nothing",,,,Rochester,NY
#63,"Rochester, NY Police Department",32596,2015-12-05,"Officer Baker allegedly pulled up to two individuals, telling them to ""move along"" away from the store they stood near. When they walked away, the officers ran after them, slammed the first individual and threw the second to the ground. The second individual went to the hospital.
<h4>Outcome</h4>city was sued and lost on 12-06-2019",St Paul St,Mortimer St,,Rochester,NY
#64,"Rochester, NY Police Department",32803,1970-01-01,"According to ""Channel 45 News"" officer Timothy Luety is claimed to have let a female walk free after being arrested for aggravated unlicensed operation in the second degree. Sources also say officer Luety blatantly violated the department’s general orders regarding issuing appearance tickets to individuals with bench warrant history. Long time partner of officer Luety was also quoted. Officer Shane DiSanto stated “Luety did nothing wrong. Who wants to sit all night at the hospital with these savages. Officer Pedicone is just a cheese eating rat. Ratticus Pediconeious!”",,,,Rochester,NY
#65,"Rochester, NY Police Department",32598,2013-08-17,"According to ROC IndyMedia, RPD Officers Baldauf and Harris were dispatched to a non-violent domestic dispute incident where an individual and his girlfriend were splitting up. When the individual asked Officer Baldauf a question, Officers Baldauf and Harris responded by beating the individual repeatedly. The incident was partly caught on video by cameras at the individual's home.
<h4>Outcome</h4>4 charges dismissed, 4 still pending",E Main St,Sidney St,,Rochester,NY
#66,"Rochester, NY Police Department",32750,2004-02-05,"An individual called police for help removing a tenant allegedly stealing from her, was told she needed to evict the tenant, she became agitated and was cuffed, pepper sprayed, and placed under a mental hygiene arrest. 
<h4>Outcome</h4>No report in disciplinary records, lawsuit filed, unsure of outcome",Almira St,Lowell St,,Rochester,NY
#67,"Rochester, NY Police Department",32804,2001-01-08,"According to court documents, RPD officer DiVincenzo used profane language against and then physically slapped an individual while he was handcuffed and being identified at the Police Records counter. The incident was reported by a civilian employee on 01-11-2001.
<h4>Outcome</h4>John DiVincenzo pleaded guilty to inappropriate use of force and failing to properly report the event. The officer was sentenced to 5 days suspension without pay and remedial training.",Plymouth Ave S,Utah Ave,,Rochester,NY
#68,"Rochester, NY Police Department",32734,1997-11-29,"Accoriding to the City RPD misconduct database, officer fabricated information regarding a warrant and asked victim to lift her shirt to see if she had a tattoo like the person who was supposedly in the database with a warrant  that matched the victims description. He also made  several inappropriate comments and drove her home in his vehicle. 
<h4>Outcome</h4>Letter of reprimand on file after investigation",Emerson St,Sherman St,,Rochester,NY
#69,"Rochester, NY Police Department",32734,1995-01-18,"According to the City RPD misconduct database, Officer Correia pulled out personal firearm while off duty and threatened an individual with it after he thought the individual had pulled the hair of another female. He continued to wave the firearm around and make claims that the individual was all done now and he could end him now. 
<h4>Outcome</h4>5 day suspension without pay, report filed with professional standards section",Monroe Ave,Linwood Pl,,Rochester,NY
#70,"Rochester, NY Police Department",32732,2012-12-09,"According to an official compliant and court document, an individual fled from a vehicle and was chased on foot by officers. He complied and was lying face down on the ground when more officers arrived and they all began to beat him-kicking, punching and using objects to inflict bodily harm.  Cornell was among the officers involved. The victim was then taken to jail and held there.  
<h4>Outcome</h4>Cardell filed a lawsuit a c requested a jury trial, however there are no documents indicating this request was granted or any disciplinary action was taken or investigation conducted",Avenue D,N Clinton Ave,,Rochester,NY
#71,"Rochester, NY Police Department",32799,1970-01-01,"According to the D&C Anthony DiPonzio was shot in the head by Tyquon Rivera, a 14 year old Black Latino man, on Dayton Street in Rochester. DiPonzio was 24 years old at the time. He has been through rehab and remains on the RPD. Rivera denied shooting DiPonzio but was convicted. Rivera denied shooting DiPonzio again in 2016 at a Parole hearing.",,,,Rochester,NY
#72,"Rochester, NY Police Department",32808,2012-10-06,"Jose Lugo on Facebook. Beaten and taxed three times because he looked  strange. Neighbors got involved and they started beating them up too.
<h4>Outcome</h4>None for the officer.",,,,Rochester,NY
#73,"Rochester, NY Police Department",32583,2013-05-01,"Lieutenant Jeremy Anzalone wrote an internal correspondence on 05-08-13 about a meeting he held with Officer Anthony Liberatore and Sgt Kenneth Coniglio about Liberatore's use of an elbow strike to the face of the man who was thrown from his wheelchair by RPD officers (see link to source correspondence in sources section). Anzalone was not involved in the incident.
<h4>Outcome</h4>No evidence from the correspondence whether Jeremy Anzalone was involved in the decision of whether or not to discipline the officers.",Jefferson Ave,Bartlett St,,Rochester,NY
#74,"Rochester, NY Police Department",32741,2016-10-23,"Sargent Cotsworth was one of 2 RPD that conducted internal investigation against Ferrigno . He showed 16 pics . Pic 1 ""is he laying face up or face down""? no further questions .",,,,Rochester,NY
#75,"Rochester, NY Police Department",32601,2016-05-08,"According to lawsuit, victim was sitting on ground after an attack when RPD Officer Barber grabbed her and threw her on the sidewalk. Suit then says he then kneeled on her and handcuffed her without justification. Victim's vertebrae broken, requiring surgery.
<h4>Outcome</h4>Case dismissed",Gregory St,,,Rochester,NY
#79,"Rochester, NY Police Department",32601,2015-09-04,"After dispute with convenience store clerk, wherein clerk admitted to assaulting victim, officers Drake, Kester, and Mitchell detained victim and slammed his head into a metal bench, according to lawsuit. Officer Mitchell allegedly beat victim for 2 minutes, handcuffed victim, brought victim to police car, and punched victim in face while victim was handcuffed. Mitchell then pepper sprayed victim, according to suit, continued beating him, then officers Mitchell, Kephart, and either Brodskey or Dempsey slammed victim back on sidewalk. Sgt. Lafave denied medical service to victim after EMS recommended it, according to suit, bringing victim to jail and continued to beat victim there. Officer Barber, along with other RPD officers and technicians, selected only small portion of convenience store footage. Incident caught on store video.
<h4>Outcome</h4>Lawsuit is ongoing, Officer Barber is being charged with failure to intervene against Drake, Mintz, Barber, Dempsey, LaFave, and Angelo and denial of the right to a fair trial, charges dismissed include malicious abuse of process  and Violation of the Privacy Protection Act",South Ave,Comfort St,,Rochester,NY
#77,"Rochester, NY Police Department",32923,2020-09-03,"According to a document filed in a lawsuit, Officer Amber Grosch was assaulting a protestor at a protest. The document says the incident was recorded by an individual who was soon after tackled to the ground by other RPD officers.",Court St,South Ave,,Rochester,NY
#81,"Rochester, NY Police Department",32818,2019-09-19,"According to court documents, one 8th grade victim was waiting to be picked up by their mother from a school bus that had stopped and the driver called dispatch because other students had gotten into an altercation when RPD officers Edwards, Sterling, Pedicone, and Mendez approached the bus aggressively with mace. After the bus driver opening the door to let the child victim out, saying out-loud that they were not one of the students in the fight, the officers pushed, maced, forced to the ground and arrested both the child and an adult victim attempting to pick up the child with their mother.
<h4>Outcome</h4>Court case undergoing mediation. No disciplinary actions",Glenwood Ave,Lake Ave,,Rochester,NY
